state,Dem Proportion,Rep Proportion,Ind Proportion
Alabama,0.7457864043650198,0.2493442458827652,0.0048693497522150474
Alaska,0.5901078609731335,0.2944747654381554,0.11541737358871106
Arizona,0.17351052241150014,0.8256948667740405,0.0007946108144593773
Arkansas,,0.2288755715505478,0.7711244284494522
Colorado,0.3507225802016462,0.5892831591930635,0.05999426060529032
Delaware,0.2988140483110302,0.6315778267488529,0.0696081249401169
Georgia,0.4051435068356396,0.5448818391059593,0.04997465405840104
Idaho,0.8349710533904132,0.052484148285226295,0.11254479832436047
Illinois,0.21057888225811278,0.6250002253526409,0.1644208923892464
Iowa,0.5133891338231387,0.4144884252582703,0.07212244091859106
Kansas,0.4569772916591214,0.42260693201984717,0.12041577632103147
Kentucky,0.6150550936081212,0.2760215273172474,0.10892337907463144
Louisiana,0.8221758558803296,0.08568298753516779,0.09214115658450266
Maine,0.5467450505240622,0.29479525697279113,0.15845969250314673
Massachusetts,0.07725807609296208,0.8989038246787173,0.023838099228320617
Michigan,0.5290491981937824,0.42513781913873,0.045812982667487595
Minnesota,0.36192507255298567,0.456818514935655,0.1812564125113593
Mississippi,0.6661992746794361,0.28443460412865224,0.0493661211919117
Montana,0.5976790416688181,0.4023209583311819,0.0
Nebraska,0.5739581438590109,,0.4260418561409891
New Hampshire,0.24259458358664435,0.7017139297597264,0.05569148665362926
New Jersey,0.24135374391727146,0.7097590249785181,0.048887231104210456
New Mexico,0.21317857500640033,0.7192811585169024,0.0675402664766972
North Carolina,0.4234319379673832,0.46647120505532713,0.11009685697728966
Oklahoma,0.8831331500413186,,0.11686684995868134
Oregon,0.2920740818191937,0.6096763277040055,0.0982495904768008
Rhode Island,0.061049823039577,0.938950176960423,0.0
South Carolina,0.7272780049927231,0.23984589421592828,0.03287610079134862
South Dakota,0.9802536476988699,0.01974635230113009,0.0
Tennessee,0.6587715166250188,0.25876348980699726,0.08246499356798398
Texas,0.46506709663247886,0.4670635212723248,0.06786938209519634
Virginia,0.3293121794871795,0.6706878205128205,0.0
West Virginia,0.908603497736149,,0.09139650226385096
Wyoming,0.9222932885711805,0.07770671142881949,0.0
